HMDB59737	D04897
HMDB15684	D02480
HMDB15249	D00236
HMDB15310	D05529
HMDB14488	D08447
HMDB15297	D01896
HMDB15419	D00657
HMDB15595	D08953
HMDB15571	D07339
HMDB00472	D07339
HMDB14669	D08111
HMDB15282	D07791
HMDB31778	D07829
HMDB14391	D08687
HMDB14366	D04625
HMDB32582	D08367
HMDB15397	D08552
HMDB15573	D08275
HMDB14729	D01825
HMDB14468	D00786
HMDB14469	D01367
HMDB15021	D00516
HMDB03818	D00179
HMDB15643	D02483
HMDB14332	D00365
HMDB15312	D00343
HMDB14500	D00771
HMDB14745	D08242
HMDB15599	D04004
HMDB01394	D07510
HMDB01922	D00282
HMDB15090	D08268
HMDB14544	D00209
HMDB04999	D08144
HMDB41910	D01893
HMDB14548	D00225
HMDB14962	D04006
HMDB05006	D07474
HMDB15286	D08012
HMDB14802	D01216
HMDB03352	D00064
HMDB41918	D08020
HMDB14414	D00269
HMDB14359	D00382
HMDB15699	D01254
HMDB15342	D00276
HMDB14459	D07607
HMDB14542	D08524
HMDB42026	D07182
HMDB14704	D00252
HMDB15114	D07759
HMDB14829	D08225
HMDB00765	D00062
HMDB01934	D03365
HMDB15417	D07993
HMDB01882	D07841
HMDB14440	D08233
HMDB05039	D08514
HMDB15072	D07444
HMDB00162	D00035
HMDB15647	D07806
HMDB14497	D08207
HMDB14377	D00656
HMDB04327	D03200
HMDB01072	D01065
HMDB15628	D10027
HMDB14809	D00258
HMDB15697	D07590
HMDB15206	D01907
HMDB15162	D00544
HMDB15454	D08469
HMDB14554	D01076
HMDB41872	D07795
HMDB14942	D07820
HMDB02142	D05467
HMDB15521	D02435
HMDB00300	D00027
HMDB14969	D08636
HMDB15637	D09698
HMDB14964	D00884
HMDB15044	D08458
HMDB14444	D05407
HMDB14483	D00144
HMDB14936	D08013
HMDB05814	D00958
HMDB01929	D08120
HMDB14642	D00586
HMDB15361	D03858
HMDB14754	D01070
HMDB14460	D00415
HMDB15394	D06675
HMDB15455	D00852
HMDB01941	D07543
HMDB01924	D00235
HMDB01879	D00109
HMDB15127	D08204
HMDB14434	D07473
HMDB00887	D10003
HMDB14578	D07765
HMDB14851	D08307
HMDB15325	D00652
HMDB34272	D08450
HMDB14686	D02770
HMDB42059	D01690
HMDB15328	D00251
HMDB14830	D08362
HMDB32231	D07777
HMDB15242	D00416;D00882
HMDB29598	D00393
HMDB15060	D07758
HMDB15308	D08062
HMDB15031	D00153
HMDB14943	D05039
HMDB15139	D00333
HMDB14599	D07635
HMDB14628	D02348
HMDB14574	D03428
HMDB00962	D00048
HMDB14794	D08626
HMDB14823	D08654
HMDB15052	D00409
HMDB15354	D00227
HMDB14487	D07845
HMDB15099	D07461
HMDB14797	D07058
HMDB14767	D04375
HMDB03573	D00138
HMDB05038	D07704
HMDB15050	D08351
HMDB14370	D01645
HMDB15587	D07766
HMDB14818	D05077
HMDB00852	D08518
HMDB14888	D00553
HMDB00900	D00187
HMDB13854	D01601
HMDB15518	D01311
HMDB42013	D01956
HMDB03828	D01234
HMDB31848	D03201
HMDB14792	D00356
HMDB14428	D03535
HMDB14772	D05947
HMDB14930	D08645
HMDB14456	D02441
HMDB15045	D00538
HMDB14811	D02968
HMDB14967	D00293
HMDB15423	D07644
HMDB15536	D04515
HMDB29684	D04903
HMDB14680	D08288
HMDB01361	D09706
HMDB15385	D08130
HMDB31340	D02442
HMDB14977	D00379
HMDB14378	D00162
HMDB15492	D07381
HMDB14712	D00113
HMDB15288	D06238
HMDB14861	D08201
HMDB15424	D07645
HMDB14491	D00392
HMDB15073	D05792
HMDB15215	D04028
HMDB14828	D00329
HMDB00228	D00033
HMDB01920	D03742
HMDB41889	D07378
HMDB14415	D00349
HMDB00068	D00095
HMDB02720	D04317
HMDB02961	D07456
HMDB14825	D07967
HMDB03378	D00074
HMDB15667	D01954
HMDB14465	D07837
HMDB01220	D00079
HMDB14432	D01964
HMDB14910	D00534
HMDB14343	D08306
HMDB14529	D02697
HMDB15327	D04066
HMDB14714	D00281
HMDB15692	D08091
HMDB15510	D01230
HMDB15547	D03669
HMDB14882	D00414
HMDB15433	D07699
HMDB14622	D02543
HMDB15130	D00237
HMDB15491	D07245
HMDB29592	D00384
HMDB00030	D00029
HMDB00607	D00166
HMDB15338	D05727
HMDB14351	D00197
HMDB15411	D05587
HMDB02917	D00061
HMDB14421	D02321
HMDB35731	D01089
HMDB15629	D07171
HMDB15094	D00407
HMDB14387	D01370
HMDB14746	D02366
HMDB15586	D00286
HMDB41928	D08193;D01301
HMDB15029	D08319
HMDB14455	D00272
HMDB14742	D00274
HMDB14660	D00383
HMDB14877	D01074
HMDB14853	D02362
HMDB14878	D00775
HMDB00946	D00734
HMDB14954	D08300
HMDB15594	D05127
HMDB14604	D00425
HMDB15678	D05143
HMDB15494	D07102
HMDB14547	D03442
HMDB14933	D00448
HMDB15389	D03696
HMDB14856	D01655
HMDB15554	D07440
HMDB15489	D00959
HMDB41911	D02545
HMDB14699	D07538
HMDB15677	D00167
HMDB41826	D02902
HMDB01980	D00101
HMDB05037	D00451
HMDB14516	D02354
HMDB14384	D00885
HMDB00870	D08040
HMDB14650	D00390
HMDB00652	D00080
HMDB05809	D04117
HMDB14454	D06304
HMDB15502	D04973
HMDB14561	D05411
HMDB14405	D00877
HMDB14759	D00462
HMDB15046	D00930
HMDB15063	D03021
HMDB14363	D08237
HMDB15049	D02941
HMDB15446	D00575
HMDB15213	D07861
HMDB15138	D07753
HMDB32260	D04353
HMDB15648	D07226
HMDB14912	D00654
HMDB15381	D02430
HMDB15074	D02341
HMDB32574	D01422
HMDB14941	D02138
HMDB14568	D00147
HMDB15084	D00536
HMDB15277	D07862
HMDB14533	D07616
HMDB15158	D00319
HMDB00145	D00067
HMDB29752	D07107
HMDB14827	D01949
HMDB14804	D08241
HMDB15109	D00052
HMDB15655	D00408
HMDB14771	D00514
HMDB14543	D08689
HMDB15412	D02519
HMDB14557	D05575
HMDB14606	D01382
HMDB15334	D00432
HMDB14684	D00584
HMDB14376	D00370
HMDB01335	D00106
HMDB00239	D08454
HMDB01895	D00097
HMDB15549	D08050
HMDB15559	D08585
HMDB00187	D00016
HMDB15567	D01125
HMDB00744	D04843
HMDB15616	D09012
HMDB14819	D00203
HMDB15296	D00453
HMDB32572	D01400
HMDB05035	D00456
HMDB15026	D04370
HMDB14441	D08490
HMDB15315	D01745
HMDB02835	D00289
HMDB15471	D00428
HMDB15003	D07514
HMDB15111	D01078
HMDB14761	D07977
HMDB14865	D00515
HMDB14757	D08066
HMDB14826	D00752
HMDB15048	D00594
HMDB15189	D06172
HMDB15290	D00542
HMDB14372	D00359
HMDB00077	D08409
HMDB14775	D00234
HMDB01923	D00118
HMDB14640	D05312
HMDB14998	D00472
HMDB14862	D02500
HMDB14356	D08220
HMDB14367	D00593
HMDB33951	D04983
HMDB14813	D08559
HMDB01392	D02456
HMDB15477	D07713
HMDB14842	D05113
HMDB00056	D07561
HMDB14837	D01290
HMDB00538	D08646
HMDB14934	D00522
HMDB01878	D01039
HMDB15516	D03740
HMDB15229	D00749
HMDB29846	D08282
HMDB14383	D00435
HMDB00863	D00137
HMDB01930	D00422
HMDB41867	D02600
HMDB14758	D00385
HMDB02865	D00089
HMDB15043	D00110
HMDB15210	D02373
HMDB15474	D00403
HMDB14944	D00501
HMDB14472	D08047
HMDB31794	D03997
HMDB15649	D07420
HMDB15144	D00132
HMDB14805	D04445
HMDB15380	D08295
HMDB14539	D00768
HMDB14776	D00171
HMDB04321	D00194
HMDB00158	D00022
HMDB14902	D08227
HMDB14324	D00421
HMDB41984	D07385
HMDB15399	D07463
HMDB36648	D01037
HMDB15620	D08216
HMDB14587	D02698
HMDB15384	D03658
HMDB14499	D00240
HMDB15340	D00838
HMDB00182	D02304
HMDB15564	D00223
HMDB14689	D00411
HMDB15376	D07125
HMDB15124	D03822
HMDB41999	D08441
HMDB01915	D07119
HMDB15555	D08226
HMDB14322	D07984
HMDB15207	D08340
HMDB15285	D06106
HMDB31815	D03796
HMDB01442	D00180
HMDB14636	D07647
HMDB14695	D00354
HMDB14966	D04253
HMDB14782	D08027
HMDB14869	D01111
HMDB15504	D01518
HMDB14949	D00423
HMDB15146	D00410
HMDB14448	D07908
HMDB03424	D00099
HMDB00786	D02365
HMDB59963	D01792
HMDB41914	D01567
HMDB15270	D07636
HMDB30451	D07636
HMDB14480	D00862
HMDB14935	D08614
HMDB14727	D08132
HMDB15601	D06281
HMDB02991	D03634
HMDB15078	D00412
HMDB14835	D08611
HMDB15339	D00590
HMDB14473	D00141
HMDB03876	D08931
HMDB41996	D01578
HMDB01451	D00086
HMDB05775	D01456
HMDB15066	D04972
HMDB02878	D02313
HMDB40988	D07553
HMDB15309	D00268
HMDB14903	D00762
HMDB14722	D07892
HMDB14738	D05072
HMDB14922	D00151
HMDB14339	D08623
