CID100004030	P02CA01
CID100004031	A03AA04
CID100004032	C02BB01
CID100004033	L01AA05
CID100004034	R06AE05
CID100004036	M02AA18;M01AG04
CID100004042	-
CID100004043	S01BA08
CID100004044	M01AG01
CID100004046	P01BC02
CID100004048	-
CID100004051	M01AC06
CID100004053	L01AA03
CID100004054	N06DX01
CID100004057	A03AB12
CID100004058	N02AB02
CID100004060	N03AB04
CID100004062	N01BB03
CID100004064	N05BC01
CID100004075	A07EC02
CID100004086	R03AB03;R03CB03
CID100004091	A10BA02
CID100004095	N07BC02;N07BC05
CID100004101	J01XX05
CID100004107	M03BA03
CID100004112	L01BA01;L04AX03
CID100004114	D05BA02;D05AD02
CID100004120	A03BB03;S01FA03
CID100004121	C03AA08
CID100004138	C02AB01;C02AB02
CID100004139	V03AB17;V04CG05
CID100004140	G02AB01
CID100004158	N06BA11;N06BA04
CID100004159	D07AA01;H02AB04;D10AA02
CID100004160	G03EK01;G03BA02
CID100004163	N02CA04
CID100004168	A03FA01
CID100004170	C03BA08
CID100004171	C07AB02
CID100004173	D06BX01;A01AB17;G01AF01;P01AB01;J01XD01
CID100004174	V04CD01
CID100004178	C01BB02
CID100004184	N06AX03
CID100004189	D01AC02;G01AF04;A01AB09;S02AA13;A07AC01;J02AB01
CID100004192	N05CD08
CID100004195	C01CA17
CID100004196	G03XB01
CID100004197	C01CE02
CID100004201	D11AX01;C02DC01
CID100004205	N06AX11
CID100004211	L01XX23
CID100004212	L01DB07
CID100004235	N06AG02
CID100004236	N06BA07
CID100004240	-
CID100004248	R03DC03
CID100004253	N02AA01
CID100004259	J01MA14;S01AE07
CID100004264	R01AX06;D06AX09
CID100004271	-
CID100004272	L04AA06
CID100004274	-
CID100004409	M01AX01
CID100004411	C07AA12
CID100004419	N02AF02
CID100004421	J01MB02
CID100004422	N07BB05
CID100004425	V03AB15
CID100004428	N07BB04
CID100004432	-
CID100004436	R01AA08;R01AB02;S01GA01
CID100004440	N02CC02
CID100004443	A10BX03
CID100004449	N06AX06
CID100004450	N02BG06
CID100004451	J05AE04
CID100004454	B05CA09;J01GB05;A01AB08;D06AX04;D09AA01;R02AB01;A07AA01;S02AA07;S03AA01;R01AX08;S01AA03;S01AA07
CID100004456	S01EB06;N07AA01
CID100004463	J05AG01
CID100004473	C08CA04
CID100004485	C08CA05
CID100004493	L02BB02
CID100004497	C08CA06
CID100004499	C08CA07
CID100004506	N05CD02
CID100004509	J01XE01
CID100004510	C05AE01;C01DA02
CID100004513	A02BA04
CID100004536	G03AC01;G03DC02
CID100004539	J01MA06;S01AE02
CID100004542	G03AD01;G03AC03
CID100004543	N06AA10
CID100004547	A10BX02
