CID100060164	50290084;50048280
CID100060172	50001103
CID100060183	-
CID100060184	-
CID100060198	50398447
CID100060490	50418083;50000541;50320449
CID100060496	-
CID100060612	50036913;50241196;50085683
CID100060613	31915
CID100060668	-
CID100060695	-
CID100060706	-
CID100060714	-
CID100060726	50027940
CID100060751	-
CID100060752	50131432
CID100060754	-
CID100060787	50069008;50121523;50010494;50373904;50039563;50373905;50114967;519
CID100060795	50130293
CID100060814	-
CID100060830	50296345
CID100060834	84745;50136680;50136674;50136671
CID100060843	18796
CID100060852	12577
CID100060853	50131438;50048803;50366825
CID100060860	-
CID100060864	50002093;50002096
CID100060867	50283545
CID100060871	-
CID100060877	-
CID100060878	50011977
CID100060936	50442524
CID100060953	-
CID100061475	-
CID100061799	50342426
CID100062305	-
CID100062358	-
CID100062816	-
CID100062819	-
CID100062924	-
CID100062956	50018849
CID100062959	-
CID100062965	-
CID100063001	50021127;50021135
CID100064147	-
CID100064778	-
CID100064929	28700
CID100064987	-
CID100065014	50422298;50423791;50081394;50035696
CID100065157	-
CID100065281	83715
CID100065370	-
CID100065628	-
CID100065840	-
CID100065856	50188058;50370475;50124566;35226;50160244;50245952
CID100065863	-
CID100065866	-
CID100065999	50043280
CID100068613	86209;50177595
CID100068740	12578
CID100068844	50079069;13056;10885
CID100069512	50347138
CID100071158	-
CID100071273	-
CID100071301	84735
CID100071316	-
CID100071329	50031720
CID100071348	50063842;50063830;82470;50063823;50063821
CID100071360	50034043
CID100071362	50406750;50403371;50142947
CID100071406	-
CID100071436	97180
CID100071469	-
CID100071616	50333117
CID100072022	50011363;50011365
CID100072054	50109647;50218054
CID100072081	-
CID100072111	50347620
CID100072466	-
CID100072938	50178917
CID100073303	-
CID100073658	50378137;50299103;50442893
CID100074989	16301;50256450;50203188
CID100077992	50073689
CID100077993	-
CID100077996	-
CID100077997	-
CID100077998	28761;50073389;50132562;28681;50129732;50073388
CID100078032	-
CID100082146	50032675
CID100082148	50035179
CID100083030	-
CID100083513	-
CID100083606	-
CID100084003	85511
CID100091488	-
CID100093860	50069989
CID100096312	-
CID100102258	-
CID100102399	-
CID100104741	50057665;50058937;50169743
