R01AB05	CID100005032
S01FB02	CID100005032
C01CA26	CID100005032
R01AA03	CID100005032
R01BA02	CID100005032
R03CA02	CID100005032
G03XC01	CID100005035
C09AA05	CID100005038
A02BA02	CID100005039
L04AA10	CID100005040
C02AA01	CID100005051
C02AA02	CID100005052
J05AB04	CID100005064
N07XX02	CID100005070
J05AC02	CID100005071
N05AX08	CID100005073
J05AE03	CID100005076
N06DA03	CID100005077
N02CC04	CID100005078
M01AH02	CID100005090
N04BC04	CID100005095
J01FA06	CID100005106
R03AC12	CID100005152
J05AF04	CID100005155
N02BA06	CID100005161
A04AD01	CID100005184
N05CM05	CID100005184
S01FA02	CID100005184
N05CA06	CID100005193
N04BD01	CID100005195
N06AB06	CID100005203
N01AB08	CID100005206
A08AA10	CID100005210
G04BE03	CID100005212
D06BA01	CID100005214
J01EC02	CID100005215
V09FX04	CID100005238
M05BA07	CID100005245
C07AA07	CID100005253
J01MA09	CID100005257
C03DA01	CID100005267
L01XE01	CID100005291
J01GA01	CID100005297
A07AA04	CID100005297
L01AD04	CID100005300
L01XX38	CID100005311
M03AB01	CID100005314
D01AC09	CID100005318
D10AF06	CID100005320
S01AB04	CID100005320
J01EC01	CID100005329
J01EB06	CID100005333
D06BA05	CID100005333
M01AB02	CID100005352
N02CC01	CID100005358
M01AE07	CID100005359
L04AD02	CID100005372
D11AH01	CID100005372
L02BA01	CID100005376
J01MA16	CID100005379
S01AE06	CID100005379
D05AX05	CID100005381
N05CD07	CID100005391
L01AX03	CID100005394
L01CB02	CID100005396
G04CA03	CID100005401
D01AE15	CID100005402
D01BA02	CID100005402
R03AC03	CID100005403
R03CC03	CID100005403
G01AG02	CID100005404
G03BA03	CID100005408
N01BA03	CID100005411
S01HA03	CID100005411
C05AD02	CID100005411
D04AB06	CID100005411
R01AB03	CID100005419
R01AA06	CID100005419
S01GA02	CID100005419
L04AX02	CID100005426
P02CA02	CID100005430
D01AC06	CID100005430
N05AC02	CID100005452
L01AC01	CID100005453
N05AF04	CID100005454
N03AG06	CID100005466
M01AE11	CID100005468
G03CX01	CID100005470
B01AC05	CID100005472
S01ED01	CID100005478
C07AA06	CID100005478
J01XD02	CID100005479
P01AB02	CID100005479
R05CB12	CID100005483
B01AC17	CID100005486
M03BX02	CID100005487
J01GB01	CID100005496
S01AA12	CID100005496
A10BB05	CID100005503
A10BB03	CID100005505
V04CA01	CID100005505
M01AB03	CID100005508
M02AA21	CID100005508
G04BD07	CID100005512
N03AX11	CID100005514
L01XX17	CID100005515
L02BA02	CID100005516
N02AX02	CID100005523
R01AA09	CID100005524
C09AA10	CID100005525
B02AA02	CID100005526
N06AF04	CID100005530
N06AX05	CID100005533
A06AC07	CID100005533
D10BA01	CID100005538
L01XX22	CID100005538
L01XX14	CID100005538
D11AH04	CID100005538
D10AD04	CID100005538
D10AD01	CID100005538
H02AB08	CID100005544
R03BA06	CID100005544
R01AD11	CID100005544
A01AC01	CID100005544
D07XB02	CID100005544
S01BA05	CID100005544
D07AB09	CID100005544
C05AA12	CID100005544
C03DB02	CID100005546
N05CD05	CID100005556
D08AE04	CID100005564
D09AA06	CID100005564
N05AB06	CID100005566
N04AA01	CID100005572
N03AC02	CID100005576
R06AA10	CID100005577
J01EA01	CID100005578
P01AX07	CID100005582
N06AA06	CID100005584
A10BG01	CID100005591
S01FA06	CID100005593
A04AA03	CID100005595
G04BD09	CID100005596
J05AG02	CID100005625
S01EE02	CID100005636
A05AA01	CID100005645
A05AA02	CID100005645
J05AB11	CID100005647
C09CA03	CID100005650
J01XA01	CID100005651
A07AA09	CID100005651
N06AX16	CID100005656
N03AG04	CID100005665
L01CA04	CID100005672
R03DC01	CID100005717
J05AF03	CID100005718
N05CF03	CID100005719
J05AH01	CID100005721
J05AF01	CID100005726
S01AD05	CID100005726
B05XA12	CID100005727
N02CC03	CID100005731
N05CF02	CID100005732
N03AX15	CID100005734
N05CF01	CID100005735
N05CF04	CID100005735
L01DC03	CID100005746
H01BB02	CID100005771
C04AB01	CID100005775
V03AB36	CID100005775
A14AA08	CID100005878
L01CA02	CID100005978
N07XX06	CID100006018
V03AB03	CID100006049
S01XA21	CID100006058
A16AA04	CID100006058
G03DA03	CID100006238
S01AD02	CID100006256
N03AD03	CID100006476
B05BB03	CID100006503
B05XX02	CID100006503
R06AE03	CID100006726
A08AA03	CID100007029
