H00290	18343173;18406216;18693262;19525956;19442247;25243380;18583934;18724932;18422679;19808788
H01356	24338029;1910259
H01757	22900900;25712943
H00865	23092955;25055871;17701904;24319099;18204449;27616481;22610851;26908619;26004201;17701898
H01716	24591661;26450007;24032382;26949346;26011188
H01997	9686362;10679936;7887408
H00996	15502825
H00481	21552474;21882291;25983245;22177090;24791901;17270046;24945461;23746546;17896309
H00278	18455741
H01459	25252500;16461471;26074879;25171371;16932298;25905398
H00426	16801539;19472408;12019216;19595619;18339196;18202827;18708002
H00605	17021174;23768514;23122586;29961571;24387994;16650073;24482543;26805784;25601850;23023331;23348741;20602914;11101839;17236138;17226784;25941349;22981119;27259055;12324385;18953341;26881968;18435799;26282398;18179891;20170898;20451170;24741995;20137778;17186462;20346435;24619944;24958875;16446920;16804542;24039609;21255762;22678063;16385457;16752389;19732867;29107558;19576567;21185009;23122587
H00619	23684011;12389028;9806825
H01560	20920527;25096447;21122217
H01343	20348253;22374951;15365053
H01756	16740155;21189955;21248745
H01058	16206105;19559535;16143336
H00615	3150442;18252228;23958762;24319098;27843125;24858907;21990045;19853237;23375655;27693231;22901946;16304440;17408482
H00780	21919222;17609203;18709303;21747609
H02094	15210133;28649555;22795705;11063735
H00658	15746149;21816345;12605440;17668385;20528889;24115387;19449417;16909393;28098945;14985377;22814392;27545675;26235985;24812067;15915161;19377476;17704778;26571461;17436253;15630421;20159109;12428212;18252223;24690944;26637982;26166480;20548336;16523516;21575681;27333055;25735484;27358180
H01779	27022507;24825732
H01800	19464398;27804958;28327570
H01040	20453517;2918525
H00485	19790289;19918918;26924530;25817016;20301418;12011143;21496006;17256787
H00645	15295921;12140463;21163160
H01600	18267242;23804577;19729209;26942284;18787878;25186792;15033141;24092286
H00165	18422479;16602095;15531838
H00811	15930940;7493032;20045868;24726473;17103435;23487782;19571066;23261301;19309503
H00287	9212761;11971877;18347298;19290936
H02127	7395825;23623387;18203163
H01226	10441570;15811011;17661744
H02369	30503519;16835919
H00705	17395134;19185184
H00748	19571750;20634695
H02385	26738840;15336224;22682186
H02002	14296416;16227998;20015879;10554820
H02312	15717202;8896573
H00418	22510444;20142850;19252258;24488770;18327255;27486776;20671153;27008867;24026985;22626039;14976158
H01566	25982313;23910704;18660937
H01145	18097132;11110675
H00774	19185186;20146699;19005038
H00049	7805034;12951587;11229517;12890805;11378650;7817937
H00707	12603866;21844476;12688839;12196741
H00613	18848116;18553566;21567126
H01844	20869035;22581610;15988748;21990102
H02245	15666309;22265013
H01383	24079281;24529145;21945105;17664376;24253857
H00695	12603845;15708285;12483299
H00735	16935789;26770148;18341575;16444271
H02398	31953166;32015508
H00279	16406777;18482721;16100859;18616559;9551528;17458672
H00195	15196008;11243733;15571218
H00903	21817922;12151881;21775501;12587918
H01677	16773266;23240096;23042809
H01769	27545680;27545676;27256762
H00408	18978792;17203405;19369670;12116173;19884899;18482868;17554260;19232167
H02349	18241073;30728324
H00954	16900028;19236704;18214787
H01333	20684021;20648472;20373368
H01281	12189593;12812989
H01076	1346617;1715688;7728148;23664791
H00642	17682060;16501574;12070241;8411061
H01638	25479151;16880448
H01421	16704792;16287683;12967504
H01472	19191632;25721508
H01273	7668281;9482572;11309364
H01484	24627193;18202658;16735711;26131937
H00019	12459728;10955772;11407945;15552776;15489140;16702400
H01065	22042873;4073836
H00576	18094725;21071975;20969579;16864643
H01005	16722595;20301647
