DB01124	D00380
DB01125	D07457
DB01126	D03820
DB01127	D03936
DB01128	D00961
DB01129	D08463
DB01130	
DB01131	
DB01132	D08378
DB01133	
DB01134	
DB01135	D00760
DB01136	D00255
DB01137	D08120
DB01138	D00449
DB01139	
DB01140	D00257
DB01141	D02465
DB01142	D07875
DB01143	
DB01144	D00518
DB01145	
DB01146	D07862
DB01147	
DB01148	
DB01149	D08257
DB01150	
DB01151	D07791
DB01152	D03347
DB01153	
DB01154	D06106
DB01155	D08012
DB01156	D07591
DB01157	D06238
DB01158	D00645
DB01159	D00542
DB01160	D01352
DB01161	D07678
DB01162	D08569
DB01163	D02888
DB01164	
DB01165	D00453
DB01166	D01896
DB01167	D00350
DB01168	D08423
DB01169	D02106
DB01170	D02237
DB01171	D02561
DB01172	
DB01173	D08305
DB01174	D00506
DB01175	
DB01176	D03621
DB01177	
DB01178	D00268
DB01179	
DB01180	D00198
DB01181	D00343
DB01182	D08435
DB01183	D08249
DB01184	D01745
DB01185	D00327
DB01186	
DB01187	
DB01188	D03488
DB01189	D00546
DB01190	D00277
DB01191	D07805
DB01192	D08323
DB01193	D02338
DB01194	D00652
DB01195	D07962
DB01196	D04066
DB01197	D00251
DB01198	D01372
DB01199	
DB01200	D03165
DB01201	D00879
DB01202	D00709
DB01203	D00432
DB01204	D08224
DB01205	D00697
DB01206	D00363
DB01207	
DB01208	D00590
DB01209	D00838
DB01210	
DB01211	D00276
DB01212	D07659
DB01213	D00707
DB01214	D02374
DB01215	D00311
DB01216	D00321
DB01217	D00960
DB01218	
DB01219	D02347
DB01220	D02554
DB01221	D08098
DB01222	D00246
DB01223	D00227
DB01224	D08456
DB01225	D07510
DB01226	
DB01227	D04716
DB01228	D07894
DB01229	D00491
DB01230	D00744
DB01231	D03858
DB01232	D00429
DB01233	D00726
DB01234	D00292
DB01235	D00059
DB01236	D00547
DB01237	
DB01238	D01164
DB01239	D00790
DB01240	D00106
DB01241	D00334
DB01242	D00811
DB01243	D03472
DB01244	D07520
DB01245	
DB01246	D07125
DB01247	D02580
DB01248	D02165
DB01249	D01474
DB01250	D00727
DB01251	D02430
DB01252	D01854
DB01253	D07905
DB01254	D03658
DB01255	
DB01256	
DB01257	
DB01259	D04024
DB01260	D03696
DB01261	D08516
DB01262	D03665
DB01263	D02555
DB01264	D03656
DB01265	D06675
DB01266	
DB01267	D05339
DB01268	D06402
DB01269	
DB01270	D05697
DB01271	
DB01272	D03207
DB01273	
DB01274	D07463
DB01275	D08044
DB01276	D04121
DB01277	D04870
DB01278	D05595
DB01279	
DB01280	D05134
DB01281	D03203
DB01282	D07229
DB01283	D03714
DB01284	D00284
DB01285	D00146
DB01288	D04157
DB01289	
DB01291	
DB01294	D00728
DB01295	
DB01296	D04334
DB01297	D05587
DB01298	
DB01299	D00580
DB01301	D02282
DB01303	D02017
DB01306	D04475
DB01307	D04539
DB01309	D04540
DB01319	D02497
DB01320	D07993
DB01321	D01235
DB01322	
DB01323	
DB01324	D00657
DB01325	D00461
DB01326	D02344
DB01327	D02299
DB01328	D07644
DB01329	
DB01330	D00260
DB01331	D02345
DB01332	
DB01333	D00264
DB01336	
DB01337	
DB01338	
DB01339	
DB01340	D07699
DB01341	
DB01342	D04243
DB01344	
DB01345	D08403
DB01346	
DB01347	
DB01348	D08529
DB01349	
DB01351	D00555
DB01352	D00698
DB01353	D02618
DB01354	
DB01355	D01071
DB01356	
DB01357	D00575
DB01359	D08074
DB01362	D01817
DB01363	
DB01364	D00124
DB01365	D08180
DB01366	
DB01367	D08469
DB01369	D00852
DB01370	
DB01373	
DB01375	D01867
DB01377	D01167
DB01378	
DB01380	D00973
DB01381	
DB01382	
DB01384	D07464
DB01388	
DB01390	D01203
DB01392	
DB01393	D01366
DB01394	D00570
DB01395	D03917
DB01396	D00297
DB01397	
DB01399	D00428
DB01400	D08261
DB01401	
DB01403	D00403
DB01404	
DB01405	D02469
DB01406	D00289
DB01407	
DB01408	D07377
DB01409	
DB01410	D01703
DB01411	
DB01412	
DB01413	D02376
DB01414	D07629
DB01415	D00922
DB01416	D07650
DB01418	D07064
DB01419	
DB01420	D00959
DB01421	
DB01422	
DB01423	
DB01424	D00556
DB01425	
DB01426	D00199
DB01427	D00231
DB01428	D05309
DB01429	D01326
DB01430	D07126
DB01431	D01374
DB01432	
DB01433	
DB01434	
DB01435	D01776
DB01436	D01518
DB01437	D00532
DB01438	D08346
DB01439	
DB01440	
DB01441	
DB01442	
DB01443	
DB01444	
DB01445	
DB01446	
DB01447	
DB01448	
DB01450	
DB01451	
DB01452	D07286
DB01453	
DB01454	
DB01455	
DB01456	
DB01458	
DB01459	
DB01460	
DB01461	
DB01462	
DB01463	
DB01464	
DB01465	
DB01466	D07929
DB01467	
DB01468	
DB01469	
DB01470	
DB01471	D03144
DB01472	
DB01473	
DB01474	
DB01475	
DB01476	D01758
DB01477	
DB01478	
DB01479	
DB01480	
DB01481	
DB01482	
DB01483	
DB01484	
DB01485	
DB01486	D07627
DB01487	D03984
DB01488	
DB01489	D07315
DB01490	D02909
DB01491	
DB01493	
DB01494	
DB01495	
DB01496	
DB01497	
DB01498	
DB01499	
DB01500	
DB01501	D03809
DB01502	
DB01503	
DB01505	D02151
DB01506	
DB01509	
DB01510	
DB01511	D07784
DB01512	
DB01513	
DB01514	
DB01515	
DB01516	
DB01518	
DB01520	
DB01521	D07731
DB01522	
DB01523	
DB01524	D00179
DB01525	
DB01526	
DB01527	D03566
DB01528	
DB01529	D07287
DB01530	
DB01531	
DB01532	
DB01533	
DB01534	D07325
DB01535	
DB01536	D00051
DB01537	
